Epoch,Train_loss,Test_loss,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1,Test_F1,Train_IOU,Test_IOU
60,0.3681,2.0854,0.9445,0.949,0.8343,0.6883,0.8833,0.7896,0.7958,0.6638
61,0.362,1.7376,0.9473,0.9306,0.8405,0.7252,0.8888,0.81,0.8034,0.6894
62,0.3612,1.7837,0.947,0.942,0.8409,0.6961,0.8887,0.7925,0.8037,0.6667
63,0.3536,1.4739,0.9481,0.921,0.841,0.7489,0.8896,0.8196,0.8044,0.7031
64,0.3364,1.8629,0.9492,0.9427,0.848,0.7027,0.894,0.7996,0.8114,0.6746
65,0.3344,2.4123,0.9494,0.9481,0.8478,0.6765,0.8941,0.7817,0.8126,0.6534
66,0.3596,2.1153,0.9467,0.928,0.8398,0.7239,0.8881,0.8077,0.803,0.687
67,0.3267,2.2268,0.9516,0.9106,0.8515,0.7521,0.8967,0.8187,0.8161,0.7015
68,0.3078,1.7282,0.9535,0.903,0.8555,0.7669,0.9002,0.8253,0.822,0.7104
69,0.3118,1.562,0.9523,0.9203,0.8548,0.7436,0.8987,0.8173,0.8198,0.7012
70,0.2964,1.7321,0.9562,0.8791,0.8614,0.7909,0.9048,0.8293,0.8293,0.7153
71,0.2893,1.7316,0.9549,0.8914,0.8616,0.777,0.904,0.8269,0.8285,0.712
72,0.27,1.6956,0.9567,0.9088,0.871,0.7647,0.9107,0.8276,0.8386,0.7128
73,0.289,1.7313,0.954,0.8827,0.8614,0.7852,0.9037,0.8282,0.8277,0.7138
74,0.2751,1.6389,0.9565,0.8812,0.8664,0.7935,0.9075,0.8322,0.8345,0.7183
75,0.259,1.9045,0.9586,0.9125,0.8746,0.7518,0.9136,0.8196,0.8436,0.7029
76,0.2533,1.9376,0.9596,0.9069,0.8769,0.7678,0.9152,0.8273,0.8463,0.713
77,0.2573,1.5909,0.9585,0.9255,0.8765,0.7406,0.9143,0.8191,0.8448,0.7016
78,0.2438,1.8504,0.9592,0.901,0.8808,0.7703,0.9173,0.8271,0.8498,0.7123
79,0.2436,1.909,0.9591,0.8539,0.8792,0.8067,0.9157,0.8265,0.8478,0.7108
80,0.235,1.7434,0.9621,0.8873,0.8829,0.7898,0.9198,0.8316,0.8539,0.7189
81,0.2358,1.7626,0.9604,0.8943,0.8843,0.7849,0.9196,0.8325,0.8541,0.721
82,0.2809,1.9835,0.9549,0.9046,0.8675,0.7594,0.9075,0.8206,0.8338,0.7056
83,0.2345,1.7025,0.9618,0.8712,0.8806,0.8081,0.9173,0.8354,0.851,0.7244
84,0.2141,1.7946,0.9645,0.8646,0.8892,0.813,0.9242,0.8342,0.8615,0.7222
85,0.2054,1.9206,0.9647,0.8347,0.8934,0.8342,0.9268,0.8312,0.8658,0.7176
86,0.2166,1.9012,0.9624,0.8402,0.8862,0.8272,0.921,0.8305,0.8567,0.7164
87,0.2232,1.5621,0.9599,0.8777,0.8868,0.7982,0.9207,0.8325,0.8561,0.7188
88,0.2217,1.8063,0.9613,0.8991,0.8884,0.7866,0.9223,0.8352,0.8584,0.724
89,0.1979,1.9913,0.9659,0.8907,0.8958,0.8019,0.9283,0.8394,0.8689,0.73
90,0.188,1.9848,0.9668,0.8654,0.9,0.8161,0.9312,0.837,0.8735,0.7264
91,0.1848,2.0803,0.9669,0.8783,0.902,0.8067,0.9326,0.8377,0.8759,0.7274
92,0.177,2.0342,0.968,0.8453,0.9052,0.8304,0.9344,0.835,0.8793,0.7231
